a,b,c
2609.04194,2609.04198,2609.04199
2609.04189,2609.04198,2609.04199
2609.04168,2609.04198,2609.04199
2609.04165,2609.04198,2609.04199
2609.04147,2609.04198,2609.04199
2609.04134,2609.04198,2609.04199
2609.04113,2609.04198,2609.04199
2609.04108,2609.04198,2609.04199
2609.04105,2609.04198,2609.04199
2609.04094,2609.04198,2609.04199
2609.04090,2609.04198,2609.04199
2609.04066,2609.04198,2609.04199
2609.04046,2609.04198,2609.04199
2609.04028,2609.04198,2609.04199
2609.04021,2609.04198,2609.04199
2609.04018,2609.04198,2609.04199
2609.04013,2609.04198,2609.04199
2609.04011,2609.04198,2609.04199
2609.04010,2609.04198,2609.04199
2609.04007,2609.04198,2609.04199
2609.03981,2609.04198,2609.04199
2609.03977,2609.04198,2609.04199
2609.03972,2609.04198,2609.04199
2609.03956,2609.04198,2609.04199
2609.03955,2609.04198,2609.04199
2609.03949,2609.04198,2609.04199
2609.03941,2609.04198,2609.04199
2609.03937,2609.04198,2609.04199
2609.03931,2609.04198,2609.04199
2609.03901,2609.04198,2609.04199
2609.03900,2609.04198,2609.04199
2609.04189,2609.04194,2609.04199
2609.04168,2609.04194,2609.04199
2609.04165,2609.04194,2609.04199
2609.04147,2609.04194,2609.04199
2609.04134,2609.04194,2609.04199
2609.04113,2609.04194,2609.04199
2609.04108,2609.04194,2609.04199
2609.04105,2609.04194,2609.04199
2609.04094,2609.04194,2609.04199
2609.04090,2609.04194,2609.04199
2609.04066,2609.04194,2609.04199
2609.04046,2609.04194,2609.04199
2609.04028,2609.04194,2609.04199
2609.04021,2609.04194,2609.04199
2609.04018,2609.04194,2609.04199
2609.04013,2609.04194,2609.04199
2609.04011,2609.04194,2609.04199
2609.04010,2609.04194,2609.04199
2609.04007,2609.04194,2609.04199
2609.03981,2609.04194,2609.04199
2609.03977,2609.04194,2609.04199
2609.03972,2609.04194,2609.04199
2609.03956,2609.04194,2609.04199
2609.03955,2609.04194,2609.04199
2609.03949,2609.04194,2609.04199
2609.03941,2609.04194,2609.04199
2609.03937,2609.04194,2609.04199
2609.03931,2609.04194,2609.04199
2609.03901,2609.04194,2609.04199
2609.03900,2609.04194,2609.04199
2609.04168,2609.04189,2609.04199
2609.04165,2609.04189,2609.04199
2609.04147,2609.04189,2609.04199
2609.04134,2609.04189,2609.04199
2609.04113,2609.04189,2609.04199
2609.04108,2609.04189,2609.04199
2609.04105,2609.04189,2609.04199
2609.04094,2609.04189,2609.04199
2609.04090,2609.04189,2609.04199
2609.04066,2609.04189,2609.04199
2609.04046,2609.04189,2609.04199
2609.04028,2609.04189,2609.04199
2609.04021,2609.04189,2609.04199
2609.04018,2609.04189,2609.04199
2609.04013,2609.04189,2609.04199
2609.04011,2609.04189,2609.04199
2609.04010,2609.04189,2609.04199
2609.04007,2609.04189,2609.04199
