citing,cited,year
synth-0001,synth-0002,2015
synth-0001,synth-0003,2015
synth-0001,synth-0004,2015
synth-0001,synth-0007,2015
synth-0001,synth-0008,2015
synth-0001,synth-0009,2015
synth-0001,synth-0016,2015
synth-0001,synth-0018,2015
synth-0022,synth-0001,2016
synth-0023,synth-0001,2016
synth-0029,synth-0001,2016
synth-0030,synth-0001,2016
synth-0033,synth-0001,2016
synth-0034,synth-0001,2016
synth-0035,synth-0001,2016
synth-0036,synth-0001,2016
synth-0047,synth-0001,2017
synth-0056,synth-0001,2017
synth-0060,synth-0001,2017
synth-0065,synth-0001,2018
synth-0068,synth-0001,2018
synth-0075,synth-0001,2018
synth-0085,synth-0001,2019
synth-0091,synth-0001,2019
synth-0101,synth-0001,2020
synth-0108,synth-0001,2020
synth-0109,synth-0001,2020
synth-0127,synth-0001,2021
synth-0130,synth-0001,2021
synth-0132,synth-0001,2021
synth-0160,synth-0001,2022
synth-0185,synth-0001,2024
synth-0192,synth-0001,2024
synth-0197,synth-0001,2024
synth-0001,synth-0201,2015
synth-0002,synth-0003,2015
synth-0002,synth-0004,2015
synth-0002,synth-0005,2015
synth-0002,synth-0007,2015
synth-0002,synth-0009,2015
synth-0002,synth-0010,2015
synth-0002,synth-0011,2015
synth-0002,synth-0012,2015
synth-0002,synth-0013,2015
synth-0002,synth-0015,2015
synth-0002,synth-0018,2015
synth-0023,synth-0002,2016
synth-0026,synth-0002,2016
synth-0029,synth-0002,2016
synth-0033,synth-0002,2016
synth-0035,synth-0002,2016
synth-0036,synth-0002,2016
synth-0037,synth-0002,2016
synth-0040,synth-0002,2016
synth-0044,synth-0002,2017
synth-0059,synth-0002,2017
synth-0062,synth-0002,2018
synth-0065,synth-0002,2018
synth-0068,synth-0002,2018
synth-0069,synth-0002,2018
synth-0074,synth-0002,2018
synth-0075,synth-0002,2018
synth-0080,synth-0002,2018
synth-0083,synth-0002,2019
synth-0084,synth-0002,2019
synth-0088,synth-0002,2019
synth-0091,synth-0002,2019
synth-0101,synth-0002,2020
synth-0104,synth-0002,2020
synth-0107,synth-0002,2020
synth-0108,synth-0002,2020
synth-0109,synth-0002,2020
synth-0110,synth-0002,2020
synth-0111,synth-0002,2020
synth-0113,synth-0002,2020
synth-0115,synth-0002,2020
synth-0121,synth-0002,2021
synth-0123,synth-0002,2021
synth-0125,synth-0002,2021
synth-0127,synth-0002,2021
synth-0128,synth-0002,2021
synth-0134,synth-0002,2021
synth-0135,synth-0002,2021
synth-0136,synth-0002,2021
synth-0137,synth-0002,2021
synth-0138,synth-0002,2021
synth-0139,synth-0002,2021
synth-0147,synth-0002,2022
synth-0148,synth-0002,2022
synth-0153,synth-0002,2022
synth-0155,synth-0002,2022
synth-0158,synth-0002,2022
synth-0161,synth-0002,2023
synth-0162,synth-0002,2023
synth-0163,synth-0002,2023
synth-0165,synth-0002,2023
synth-0173,synth-0002,2023
synth-0174,synth-0002,2023
synth-0178,synth-0002,2023
synth-0182,synth-0002,2024
synth-0183,synth-0002,2024
synth-0189,synth-0002,2024
synth-0191,synth-0002,2024
synth-0003,synth-0004,2015
synth-0003,synth-0005,2015
synth-0003,synth-0006,2015
synth-0003,synth-0007,2015
synth-0003,synth-0008,2015
synth-0003,synth-0013,2015
synth-0003,synth-0016,2015
synth-0022,synth-0003,2016
synth-0025,synth-0003,2016
synth-0027,synth-0003,2016
synth-0030,synth-0003,2016
synth-0034,synth-0003,2016
synth-0036,synth-0003,2016
synth-0037,synth-0003,2016
synth-0040,synth-0003,2016
synth-0041,synth-0003,2017
synth-0047,synth-0003,2017
synth-0055,synth-0003,2017
synth-0056,synth-0003,2017
synth-0060,synth-0003,2017
synth-0061,synth-0003,2018
synth-0062,synth-0003,2018
synth-0066,synth-0003,2018
synth-0067,synth-0003,2018
synth-0070,synth-0003,2018
synth-0071,synth-0003,2018
synth-0082,synth-0003,2019
synth-0092,synth-0003,2019
synth-0093,synth-0003,2019
synth-0100,synth-0003,2019
synth-0105,synth-0003,2020
synth-0106,synth-0003,2020
synth-0107,synth-0003,2020
synth-0113,synth-0003,2020
synth-0122,synth-0003,2021
synth-0130,synth-0003,2021
synth-0132,synth-0003,2021
synth-0133,synth-0003,2021
synth-0139,synth-0003,2021
synth-0155,synth-0003,2022
synth-0166,synth-0003,2023
synth-0174,synth-0003,2023
synth-0176,synth-0003,2023
synth-0181,synth-0003,2024
synth-0189,synth-0003,2024
synth-0004,synth-0005,2015
synth-0004,synth-0006,2015
synth-0004,synth-0009,2015
synth-0004,synth-0010,2015
synth-0004,synth-0011,2015
synth-0004,synth-0014,2015
synth-0004,synth-0016,2015
synth-0004,synth-0018,2015
synth-0021,synth-0004,2016
synth-0029,synth-0004,2016
synth-0052,synth-0004,2017
synth-0053,synth-0004,2017
synth-0060,synth-0004,2017
synth-0064,synth-0004,2018
synth-0068,synth-0004,2018
synth-0071,synth-0004,2018
synth-0073,synth-0004,2018
synth-0083,synth-0004,2019
synth-0085,synth-0004,2019
synth-0087,synth-0004,2019
synth-0088,synth-0004,2019
synth-0114,synth-0004,2020
synth-0116,synth-0004,2020
synth-0121,synth-0004,2021
synth-0129,synth-0004,2021
synth-0135,synth-0004,2021
synth-0136,synth-0004,2021
synth-0137,synth-0004,2021
synth-0138,synth-0004,2021
synth-0160,synth-0004,2022
synth-0162,synth-0004,2023
synth-0163,synth-0004,2023
synth-0165,synth-0004,2023
synth-0173,synth-0004,2023
synth-0176,synth-0004,2023
synth-0177,synth-0004,2023
synth-0185,synth-0004,2024
synth-0189,synth-0004,2024
synth-0005,synth-0006,2015
synth-0052,synth-0005,2017
synth-0053,synth-0005,2017
synth-0066,synth-0005,2018
synth-0082,synth-0005,2019
synth-0088,synth-0005,2019
synth-0116,synth-0005,2020
synth-0121,synth-0005,2021
synth-0129,synth-0005,2021
synth-0136,synth-0005,2021
synth-0150,synth-0005,2022
synth-0170,synth-0005,2023
synth-0172,synth-0005,2023
synth-0174,synth-0005,2023
synth-0177,synth-0005,2023
synth-0188,synth-0005,2024
synth-0052,synth-0006,2017
synth-0053,synth-0006,2017
synth-0066,synth-0006,2018
synth-0071,synth-0006,2018
synth-0073,synth-0006,2018
synth-0082,synth-0006,2019
synth-0150,synth-0006,2022
synth-0170,synth-0006,2023
synth-0172,synth-0006,2023
synth-0007,synth-0008,2015
synth-0007,synth-0013,2015
synth-0023,synth-0007,2016
synth-0025,synth-0007,2016
synth-0027,synth-0007,2016
synth-0030,synth-0007,2016
synth-0035,synth-0007,2016
synth-0041,synth-0007,2017
synth-0055,synth-0007,2017
synth-0058,synth-0007,2017
