id,title,year,category,field,authors
synth-0001,Harmonic chains in cs literature,2015,cs.LG,cs,Synth Cs 1
synth-0002,Boundary operators for cs claims,2015,cs.LG,cs,Synth Cs 2
synth-0003,On the cs kernel of L1,2015,cs.LG,cs,Synth Cs 3
synth-0004,Discrete Hodge theory of 4,2015,cs.LG,cs,Synth Cs 4
synth-0005,Fiedler versus Hodge on 5,2015,cs.LG,cs,Synth Cs 5
synth-0006,Boundary operators for cs claims,2015,cs.LG,cs,Synth Cs 6
synth-0007,Boundary operators for cs claims,2015,cs.LG,cs,Synth Cs 7
synth-0008,Intellectual debt along a cs cycle,2015,cs.LG,cs,Synth Cs 8
synth-0009,A stacked cs note on 9,2015,cs.LG,cs,Synth Cs 9
synth-0010,Spectral 10 on a cs complex,2015,cs.LG,cs,Synth Cs 10
synth-0011,Discrete Hodge theory of 11,2015,cs.LG,cs,Synth Cs 11
synth-0012,Citation triangles in cs,2015,cs.LG,cs,Synth Cs 12
synth-0013,Intellectual debt along a cs cycle,2015,cs.LG,cs,Synth Cs 13
synth-0014,Fiedler versus Hodge on 14,2015,cs.LG,cs,Synth Cs 14
synth-0015,Discrete Hodge theory of 15,2015,cs.LG,cs,Synth Cs 15
synth-0016,Boundary operators for cs claims,2015,cs.LG,cs,Synth Cs 16
synth-0017,Fiedler versus Hodge on 17,2015,cs.LG,cs,Synth Cs 17
synth-0018,Discrete Hodge theory of 18,2015,cs.LG,cs,Synth Cs 1
synth-0019,Spectral 19 on a cs complex,2015,cs.LG,cs,Synth Cs 2
synth-0020,A stacked cs note on 20,2015,cs.LG,cs,Synth Cs 3
synth-0021,Harmonic chains in cs literature,2016,cs.LG,cs,Synth Cs 4
synth-0022,Citation triangles in cs,2016,cs.LG,cs,Synth Cs 5
synth-0023,Discrete Hodge theory of 23,2016,cs.LG,cs,Synth Cs 6
synth-0024,Intellectual debt along a cs cycle,2016,cs.LG,cs,Synth Cs 7
synth-0025,Spectral 25 on a cs complex,2016,cs.LG,cs,Synth Cs 8
synth-0026,Boundary operators for cs claims,2016,cs.LG,cs,Synth Cs 9
synth-0027,On the cs kernel of L1,2016,cs.LG,cs,Synth Cs 10
synth-0028,Discrete Hodge theory of 28,2016,cs.LG,cs,Synth Cs 11
synth-0029,Spectral 29 on a cs complex,2016,cs.LG,cs,Synth Cs 12
synth-0030,A stacked cs note on 30,2016,cs.LG,cs,Synth Cs 13
synth-0031,Simplicial cuts for cs corpora,2016,cs.LG,cs,Synth Cs 14
synth-0032,Discrete Hodge theory of 32,2016,cs.LG,cs,Synth Cs 15
synth-0033,Simplicial cuts for cs corpora,2016,cs.LG,cs,Synth Cs 16
synth-0034,Intellectual debt along a cs cycle,2016,cs.LG,cs,Synth Cs 17
synth-0035,Discrete Hodge theory of 35,2016,cs.LG,cs,Synth Cs 1
synth-0036,Harmonic chains in cs literature,2016,cs.LG,cs,Synth Cs 2
synth-0037,Harmonic chains in cs literature,2016,cs.LG,cs,Synth Cs 3
synth-0038,On the cs kernel of L1,2016,cs.LG,cs,Synth Cs 4
synth-0039,Fiedler versus Hodge on 39,2016,cs.LG,cs,Synth Cs 5
synth-0040,Intellectual debt along a cs cycle,2016,cs.LG,cs,Synth Cs 6
synth-0041,Spectral 41 on a cs complex,2017,cs.LG,cs,Synth Cs 7
synth-0042,Citation triangles in cs,2017,cs.LG,cs,Synth Cs 8
synth-0043,Spectral 43 on a cs complex,2017,cs.LG,cs,Synth Cs 9
synth-0044,On the cs kernel of L1,2017,cs.LG,cs,Synth Cs 10
synth-0045,Fiedler versus Hodge on 45,2017,cs.LG,cs,Synth Cs 11
synth-0046,Fiedler versus Hodge on 46,2017,cs.LG,cs,Synth Cs 12
synth-0047,Fiedler versus Hodge on 47,2017,cs.LG,cs,Synth Cs 13
synth-0048,A stacked cs note on 48,2017,cs.LG,cs,Synth Cs 14
synth-0049,A stacked cs note on 49,2017,cs.LG,cs,Synth Cs 15
synth-0050,On the cs kernel of L1,2017,cs.LG,cs,Synth Cs 16
synth-0051,On the cs kernel of L1,2017,cs.LG,cs,Synth Cs 17
synth-0052,Discrete Hodge theory of 52,2017,cs.LG,cs,Synth Cs 1
synth-0053,Spectral 53 on a cs complex,2017,cs.LG,cs,Synth Cs 2
synth-0054,Discrete Hodge theory of 54,2017,cs.LG,cs,Synth Cs 3
synth-0055,A stacked cs note on 55,2017,cs.LG,cs,Synth Cs 4
synth-0056,Harmonic chains in cs literature,2017,cs.LG,cs,Synth Cs 5
synth-0057,Intellectual debt along a cs cycle,2017,cs.LG,cs,Synth Cs 6
synth-0058,Discrete Hodge theory of 58,2017,cs.LG,cs,Synth Cs 7
synth-0059,Fiedler versus Hodge on 59,2017,cs.LG,cs,Synth Cs 8
synth-0060,Citation triangles in cs,2017,cs.LG,cs,Synth Cs 9
synth-0061,Citation triangles in cs,2018,cs.LG,cs,Synth Cs 10
synth-0062,Intellectual debt along a cs cycle,2018,cs.LG,cs,Synth Cs 11
synth-0063,Fiedler versus Hodge on 63,2018,cs.LG,cs,Synth Cs 12
synth-0064,Fiedler versus Hodge on 64,2018,cs.LG,cs,Synth Cs 13
synth-0065,Spectral 65 on a cs complex,2018,cs.LG,cs,Synth Cs 14
synth-0066,Citation triangles in cs,2018,cs.LG,cs,Synth Cs 15
synth-0067,A stacked cs note on 67,2018,cs.LG,cs,Synth Cs 16
synth-0068,Boundary operators for cs claims,2018,cs.LG,cs,Synth Cs 17
synth-0069,On the cs kernel of L1,2018,cs.LG,cs,Synth Cs 1
