citing,cited,year
synth-0002,synth-0001,2016
synth-0003,synth-0001,2016
synth-0004,synth-0001,2017
synth-0009,synth-0001,2018
synth-0003,synth-0002,2016
synth-0004,synth-0002,2017
synth-0004,synth-0003,2017
synth-0005,synth-0004,2017
synth-0006,synth-0005,2016
synth-0007,synth-0005,2016
synth-0008,synth-0005,2017
synth-0007,synth-0006,2016
synth-0008,synth-0006,2017
synth-0008,synth-0007,2017
synth-0010,synth-0009,2019
synth-0012,synth-0009,2019
synth-0011,synth-0010,2019
synth-0012,synth-0011,2019
